rank,id,player,team,pos,gp,third_pass_yds,third_pass_td,third_pass_int,third_rush_yds,third_rush_td,third_rec,third_rec_yds,third_rec_td,third_def_sck,third_def_int,third_fum_forced,third_fum_recovered,third_fpts_ppr_per_gp,third_fpts_ppr
24,20875,DK Metcalf,SEA,WR,17,0,0,0,0,0,19,300,2,0,0,0,0,3.6,61.0
25,21752,Chase Claypool,PIT,WR,15,0,0,0,2,0,21,304,1,0,0,0,0,3.8,57.6
26,21679,CeeDee Lamb,DAL,WR,16,0,0,0,12,0,16,222,3,0,0,0,0,3.6,57.4
27,18880,Chris Godwin,TB,WR,14,0,0,0,2,1,21,190,2,0,0,0,0,4.0,56.2
28,21747,Brandon Aiyuk,SF,WR,17,0,0,0,0,0,14,226,3,0,0,0,0,3.2,54.6
29,15534,Adam Thielen,MIN,WR,13,0,0,0,0,0,19,176,3,0,0,0,0,4.2,54.6
30,20876,Jakobi Meyers,NE,WR,17,15,0,0,0,0,24,294,0,0,0,0,0,3.2,54.0
31,21957,Quez Watkins,PHI,WR,17,0,0,0,0,0,16,317,1,0,0,0,0,3.2,53.7
32,21687,DeVonta Smith,PHI,WR,17,0,0,0,0,0,16,216,3,0,0,1,0,3.2,53.6
33,21739,Van Jefferson,LAR,WR,17,0,0,0,0,0,12,233,3,0,0,0,0,3.1,53.3
34,21042,A.J. Brown,TEN,WR,13,0,0,0,7,0,22,240,1,0,0,0,0,4.1,52.7
35,20006,Russell Gage,ATL,WR,14,0,0,0,0,0,23,273,1,0,0,0,0,3.7,52.3
36,21045,Marquise Brown,BAL,WR,16,0,0,0,5,0,22,197,2,0,0,0,0,3.3,52.2
37,13870,Marvin Jones Jr.,JAX,WR,17,0,0,0,0,0,16,228,2,0,0,0,0,3.0,50.8
38,14986,DeAndre Hopkins,ARI,WR,10,0,0,0,0,0,11,150,4,0,0,0,0,5.0,50.0
39,19318,Kendrick Bourne,NE,WR,17,0,0,0,0,0,13,237,2,0,0,0,0,2.7,46.7
40,21714,K.J. Osborn,MIN,WR,17,0,0,0,0,0,19,210,1,0,0,0,0,2.7,46.0
41,21734,Nick Westbrook-Ikhine,TEN,WR,16,0,0,0,0,0,14,194,2,0,0,0,0,2.8,45.4
42,16263,Allen Robinson II,CHI,WR,12,0,0,0,0,0,17,220,1,0,0,0,0,3.8,45.0
43,13227,Randall Cobb,GB,WR,12,0,0,0,0,0,12,203,2,0,0,0,0,3.7,44.3
44,16765,Amari Cooper,DAL,WR,15,0,0,0,0,0,13,187,2,0,0,0,0,2.9,43.7
45,21735,Gabe Davis,BUF,WR,16,0,0,0,0,0,12,192,2,0,0,0,0,2.7,43.2
46,20038,Braxton Berrios,NYJ,WR,16,0,0,0,2,1,12,130,2,0,0,0,0,2.7,43.2
47,20145,Allen Lazard,GB,WR,15,0,0,0,0,0,11,136,3,0,0,0,0,2.8,42.6
48,21690,Tee Higgins,CIN,WR,14,0,0,0,0,0,15,255,0,0,0,0,0,2.9,40.5
49,21694,Henry Ruggs III,LV,WR,7,0,0,0,0,0,6,225,2,0,0,0,0,5.8,40.5
50,21697,Laviska Shenault Jr.,JAX,WR,16,0,0,0,0,0,19,214,0,0,0,0,0,2.5,40.4
51,11056,Antonio Brown,TB,WR,7,0,0,0,0,0,12,222,1,0,0,0,0,5.7,40.2
52,16389,Odell Beckham Jr.,LAR,WR,14,0,0,0,0,0,13,147,2,0,0,0,0,2.8,39.7
53,21163,Deonte Harty,NO,WR,13,0,0,0,0,0,12,202,1,0,0,0,0,2.9,38.2
54,14141,Cole Beasley,BUF,WR,16,0,0,0,0,0,16,160,1,0,0,0,0,2.4,38.0
55,22592,Elijah Moore,NYJ,WR,11,0,0,0,0,0,8,119,3,0,0,0,0,3.4,37.9
56,14871,Robert Woods,LAR,WR,9,0,0,0,0,0,13,162,1,0,0,0,0,3.9,35.2
57,19897,Tre'Quan Smith,NO,WR,11,0,0,0,0,0,12,169,1,0,0,0,0,3.2,34.9
58,21754,Donovan Peoples-Jones,CLE,WR,14,0,0,0,0,0,11,169,1,0,0,0,0,2.4,33.9
59,21448,Jalen Guyton,LAC,WR,16,0,0,0,0,0,10,178,1,0,0,0,0,2.1,33.8
60,21961,Darnell Mooney,CHI,WR,17,0,0,0,0,0,18,157,0,0,0,0,0,2.0,33.7
61,20873,Terry McLaurin,WAS,WR,17,0,0,0,0,0,10,169,1,0,0,0,0,1.9,32.9
62,16775,DeVante Parker,MIA,WR,10,0,0,0,0,0,12,147,1,0,0,0,0,3.3,32.7
63,19802,Calvin Ridley,ATL,WR,5,0,0,0,0,0,12,128,1,0,0,0,0,6.2,30.8
64,21736,Bryan Edwards,LV,WR,16,0,0,0,0,0,8,164,1,0,0,0,0,1.9,30.4
65,19207,Tim Patrick,DEN,WR,16,0,0,0,0,0,13,168,0,0,0,0,0,1.9,29.8
66,3943,DeSean Jackson,LV,WR,16,0,0,0,0,0,4,194,1,0,0,0,0,1.8,29.4
67,21717,Jauan Jennings,SF,WR,16,0,0,0,0,0,10,133,1,0,0,0,0,1.8,29.3
68,21721,Devin Duvernay,BAL,WR,16,0,0,0,13,0,10,106,1,0,0,0,0,1.7,27.9
69,17141,Damiere Byrd,CHI,WR,17,0,0,0,0,0,8,134,1,0,0,0,0,1.6,27.4
70,17290,Adam Humphries,WAS,WR,17,0,0,0,0,0,14,133,0,0,0,0,0,1.6,27.3
71,18879,Corey Davis,NYJ,WR,9,0,0,0,0,0,8,88,2,0,0,0,0,3.0,26.8
72,19514,Keelan Cole Sr.,NYJ,WR,15,0,0,0,0,0,9,175,0,0,0,0,0,1.8,26.5
73,17218,DeAndre Carter,WAS,WR,17,0,0,0,11,0,7,61,2,0,0,0,0,1.5,26.2
74,18926,Zay Jones,LV,WR,17,0,0,0,0,0,11,151,0,0,0,0,0,1.5,26.1
75,22614,Kadarius Toney,NYG,WR,10,0,0,0,5,0,10,152,0,0,0,0,0,2.6,25.7
76,18361,Chester Rogers,TEN,WR,16,0,0,0,0,0,10,97,1,0,0,0,0,1.6,25.7
77,21142,Olamide Zaccheaus,ATL,WR,17,0,0,0,2,0,8,113,1,0,0,0,0,1.5,25.5
78,21692,Jerry Jeudy,DEN,WR,10,0,0,0,0,0,11,143,0,0,0,0,0,2.5,25.3
79,19961,Ray-Ray McCloud,PIT,WR,16,0,0,0,0,0,14,112,0,0,0,0,0,1.6,25.2
80,18422,Kalif Raymond,DET,WR,16,0,0,0,0,0,12,72,1,0,0,0,0,1.6,25.2
81,22626,Rondale Moore,ARI,WR,14,0,0,0,0,0,15,102,0,0,0,0,0,1.8,25.2
82,18977,Kenny Golladay,NYG,WR,14,0,0,0,0,0,10,149,0,0,0,0,0,1.8,24.9
83,19976,Marquez Valdes-Scantling,GB,WR,11,0,0,0,0,0,6,128,1,0,0,0,0,2.3,24.8
84,18030,Chris Moore,HOU,WR,12,0,0,0,0,0,8,108,1,0,0,0,0,2.1,24.8
85,20788,Mecole Hardman Jr.,KC,WR,17,0,0,0,3,0,8,164,0,0,0,0,0,1.5,24.7
86,17914,Laquon Treadwell,JAX,WR,12,0,0,0,0,0,11,129,0,0,0,0,0,2.0,23.9
87,19867,Michael Gallup,DAL,WR,9,0,0,0,0,0,7,100,1,0,0,0,0,2.6,23.0
88,14005,T.Y. Hilton,IND,WR,10,0,0,0,0,0,8,89,1,0,0,0,0,2.3,22.9
89,16866,Jamison Crowder,NYJ,WR,12,0,0,0,0,0,12,109,0,0,0,0,0,1.9,22.9
90,16020,Jarvis Landry,CLE,WR,12,0,0,0,0,0,9,137,0,0,0,0,0,1.9,22.7
91,19800,Courtland Sutton,DEN,WR,17,0,0,0,0,0,11,116,0,0,0,0,0,1.3,22.6
92,13291,Julio Jones,TEN,WR,10,0,0,0,0,0,9,135,0,0,0,0,0,2.2,22.5
93,22623,Rashod Bateman,BAL,WR,12,0,0,0,0,0,9,73,1,0,0,0,0,1.9,22.3
94,19098,Isaiah Ford,MIA,WR,13,0,0,0,0,0,5,52,2,0,0,0,0,1.7,22.2
95,17961,Sterling Shepard,NYG,WR,7,0,0,0,0,0,11,110,0,0,0,0,0,3.1,22.0
96,22595,Ihmir Smith-Marsette,MIN,WR,8,0,0,0,0,0,3,70,2,0,0,0,0,2.8,22.0
97,19017,Josh Reynolds,DET,WR,12,0,0,0,0,0,6,96,1,0,0,0,0,1.8,21.6
98,20943,Darius Slayton,NYG,WR,13,0,0,0,0,0,6,95,1,0,0,0,0,1.7,21.5
99,20150,Byron Pringle,KC,WR,17,0,0,0,0,0,9,121,0,0,0,0,0,1.2,21.1
100,21686,Jalen Reagor,PHI,WR,17,0,0,0,0,0,7,72,1,0,0,0,0,1.2,20.2
101,21005,Parris Campbell,IND,WR,6,0,0,0,0,0,5,85,1,0,0,0,0,3.2,19.5
102,22613,Joshua Palmer,LAC,WR,17,0,0,0,0,0,7,64,1,0,0,0,0,1.1,19.4
103,21960,Freddie Swain,SEA,WR,17,0,0,0,0,0,5,83,1,0,0,0,0,1.1,19.3
104,21675,Tyler Johnson,TB,WR,17,0,0,0,0,0,9,86,0,0,0,0,0,1.0,17.6
105,21756,Nico Collins,HOU,WR,14,0,0,0,0,0,9,86,0,0,0,0,0,1.3,17.6
106,18089,Rashard Higgins,CLE,WR,15,0,0,0,0,0,7,105,0,0,0,0,0,1.2,17.5
107,18187,Robbie Chosen,CAR,WR,17,0,0,0,0,0,9,84,0,0,0,0,0,1.0,17.4
108,18047,Demarcus Robinson,KC,WR,17,0,0,0,0,0,5,64,1,0,0,0,0,1.0,17.4
109,11063,Emmanuel Sanders,BUF,WR,14,0,0,0,0,0,7,97,0,0,0,0,0,1.2,16.7
110,16003,Sammy Watkins,BAL,WR,13,0,0,0,0,0,6,63,1,0,0,0,0,1.3,16.3
111,19023,Mack Hollins,MIA,WR,17,0,0,0,0,0,4,59,1,0,0,0,0,0.9,15.9
112,9906,Danny Amendola,HOU,WR,8,0,0,0,0,0,7,86,0,0,0,0,0,1.9,15.6
113,19043,Isaiah McKenzie,BUF,WR,15,0,0,0,16,0,7,66,0,0,0,0,0,1.0,15.2
114,21729,Quintez Cephus,DET,WR,5,0,0,0,0,0,4,104,0,0,0,0,0,2.9,14.4
115,16787,Breshad Perriman,TB,WR,6,0,0,0,0,0,2,63,1,0,0,0,0,2.4,14.3
116,21723,James Proche II,BAL,WR,14,0,0,0,0,0,6,82,0,0,0,0,0,1.0,14.2
117,22685,Terrace Marshall Jr.,CAR,WR,13,0,0,0,0,0,8,58,0,0,0,0,0,1.1,13.8
118,19854,Dante Pettis,NYG,WR,3,0,0,0,0,0,4,38,1,0,0,0,0,4.6,13.8
119,20979,Antoine Wesley,ARI,WR,15,0,0,0,0,0,4,36,1,0,0,0,0,0.9,13.6
120,19172,Zach Pascal,IND,WR,16,0,0,0,0,0,5,25,1,0,0,0,0,0.8,13.5
121,19044,Jamal Agnew,JAX,WR,10,0,0,0,0,0,4,29,1,0,0,0,0,1.3,12.9
122,13878,Mohamed Sanu,SF,WR,8,0,0,0,0,0,5,70,0,0,0,0,0,1.5,12.0
123,22213,Kendall Hinton,DEN,WR,16,0,0,0,0,0,4,74,0,0,0,0,0,0.7,11.4
124,20816,Lil'Jordan Humphrey,NO,WR,10,0,0,0,0,0,4,72,0,0,0,0,0,1.1,11.2
125,16855,Ty Montgomery II,NO,WR,14,0,0,0,8,0,6,44,0,0,0,0,0,0.8,11.2
126,18881,John Ross,NYG,WR,10,0,0,0,0,0,3,81,0,0,0,0,0,1.1,11.1
127,18992,Dede Westbrook,MIN,WR,15,0,0,0,0,0,6,45,0,0,0,0,0,0.7,10.5
128,16781,Nelson Agholor,NE,WR,15,0,0,0,0,0,6,43,0,0,0,0,0,0.7,10.3
129,14865,Marquise Goodwin,CHI,WR,14,0,0,0,0,0,4,61,0,0,0,0,0,0.7,10.1
130,18058,Tajae Sharpe,ATL,WR,15,0,0,0,0,0,5,49,0,0,0,0,0,0.7,9.9
131,15215,Tavon Austin,JAX,WR,13,0,0,0,0,0,5,47,0,0,0,0,0,0.7,9.7
132,21383,Jody Fortson Jr.,KC,WR,6,0,0,0,0,0,2,13,1,0,0,0,0,1.6,9.3
133,19865,James Washington,PIT,WR,15,0,0,0,0,0,2,10,1,0,0,0,0,0.6,9.0
134,21759,KJ Hamler,DEN,WR,3,0,0,0,0,0,3,60,0,0,0,0,0,3.0,9.0
135,16308,Albert Wilson,MIA,WR,14,0,0,0,0,0,5,38,0,0,0,0,0,0.6,8.8
136,21959,Dezmon Patmon,IND,WR,8,0,0,0,0,0,1,14,1,0,0,0,0,1.1,8.4
137,21078,Jeff Smith,NYJ,WR,12,0,0,0,0,0,4,41,0,0,0,0,0,0.7,8.1
138,14828,Chris Hogan,NO,WR,5,0,0,0,0,0,1,10,1,0,0,0,0,1.6,8.0
139,20081,Trent Sherfield Sr.,SF,WR,17,0,0,0,0,0,4,34,0,0,0,0,0,0.4,7.4
140,20792,N'Keal Harry,NE,WR,12,0,0,0,0,0,2,53,0,0,0,0,0,0.6,7.3
141,14587,Josh Gordon,KC,WR,12,0,0,0,0,0,1,1,1,0,0,0,0,0.6,7.1
142,20684,Malik Turner,DAL,WR,14,0,0,0,0,0,1,61,0,0,0,0,0,0.5,7.1
143,18209,Marcus Johnson,TEN,WR,7,0,0,0,0,0,3,40,0,0,0,0,0,1.0,7.0
144,16837,Chris Conley,HOU,WR,16,0,0,0,0,0,3,39,0,0,0,0,0,0.4,6.9
145,21730,Collin Johnson,NYG,WR,12,0,0,0,0,0,3,34,0,0,0,0,0,0.5,6.4
146,19200,C.J. Board,NYG,WR,6,0,0,0,0,0,2,44,0,0,0,0,0,1.1,6.4
147,18883,JuJu Smith-Schuster,PIT,WR,5,0,0,0,0,0,3,34,0,0,0,0,0,1.3,6.4
148,16790,Phillip Dorsett,HOU,WR,6,0,0,0,0,0,2,43,0,0,0,0,0,1.1,6.3
149,19064,Trent Taylor,CIN,WR,4,0,0,0,0,0,2,41,0,0,0,0,0,1.5,6.1
150,20529,Cam Sims,WAS,WR,14,0,0,0,0,0,3,31,0,0,0,0,0,0.4,6.1
151,22244,Ja'Marcus Bradley,CLE,WR,5,0,0,0,0,0,3,27,0,0,0,0,0,1.1,5.7
152,22686,Dyami Brown,WAS,WR,15,0,0,0,0,0,3,23,0,0,0,0,0,0.4,5.3
153,19705,Greg Ward,PHI,WR,17,0,0,0,0,0,2,29,0,0,0,0,0,0.3,4.9
154,18896,Cyril Grayson Jr.,TB,WR,5,0,0,0,0,0,2,29,0,0,0,0,0,1.0,4.9
155,22620,Mike Strachan,IND,WR,5,0,0,0,0,0,2,26,0,0,0,0,0,0.9,4.6
156,22590,Ben Skowronek,LAR,WR,14,0,0,0,0,0,3,15,0,0,0,0,0,0.3,4.5
157,18039,Pharoh Cooper,NYG,WR,8,0,0,0,0,0,2,21,0,0,0,0,0,0.5,4.1
158,22569,Dee Eskridge,SEA,WR,10,0,0,0,0,0,2,18,0,0,0,0,0,0.4,3.8
159,16141,Willie Snead IV,CAR,WR,9,0,0,0,0,0,2,17,0,0,0,0,0,0.4,3.7
160,21964,Cody White,PIT,WR,15,0,0,0,0,0,2,17,0,0,0,0,0,0.2,3.7
161,19816,DJ Chark,JAX,WR,4,0,0,0,0,0,1,27,0,0,0,0,0,0.9,3.7
162,22572,Dax Milne,WAS,WR,13,0,0,0,0,0,3,27,0,0,0,0,0,0.3,3.7
163,21349,Ashton Dulin,IND,WR,17,0,0,0,0,0,1,23,0,0,0,0,0,0.2,3.3
164,21601,Gunner Olszewski,NE,WR,16,0,0,0,0,0,1,22,0,0,0,0,0,0.2,3.2
165,18103,Jakeem Grant Sr.,CHI,WR,15,0,0,0,4,0,3,15,0,0,0,0,0,0.2,2.9
166,21758,KJ Hill Jr.,LAC,WR,6,0,0,0,0,0,1,19,0,0,0,0,0,0.5,2.9
167,22575,Amari Rodgers,GB,WR,16,0,0,0,0,0,1,19,0,0,0,0,0,0.2,2.9
168,22604,Tylan Wallace,BAL,WR,17,0,0,0,0,0,1,18,0,0,0,0,0,0.2,2.8
169,19779,Brandon Zylstra,CAR,WR,13,0,0,0,0,0,2,8,0,0,0,0,0,0.2,2.8
170,21311,Davion Davis,HOU,WR,2,0,0,0,0,0,1,17,0,0,0,0,0,1.4,2.7
171,19864,Anthony Miller,PIT,WR,3,0,0,0,0,0,2,7,0,0,0,0,0,0.9,2.7
172,22588,Anthony Schwartz,CLE,WR,14,0,0,0,0,0,1,16,0,0,0,0,0,0.2,2.6
173,22594,Frank Darby,ATL,WR,10,0,0,0,0,0,1,14,0,0,0,0,0,0.2,2.4
174,18197,Alex Erickson,CAR,WR,17,0,0,0,0,0,1,13,0,0,0,0,0,0.1,2.3
175,20742,J.J. Arcega-Whiteside,PHI,WR,16,0,0,0,0,0,1,13,0,0,0,0,0,0.1,2.3
176,18673,Jaydon Mickens,JAX,WR,11,0,0,0,0,0,1,12,0,0,0,0,0,0.2,2.2
177,20679,KhaDarel Hodge,DET,WR,16,0,0,0,0,0,1,11,0,0,0,0,0,0.1,2.1
178,15196,Kenny Stills,NO,WR,13,0,0,0,0,0,1,11,0,0,0,0,0,0.2,2.1
179,21746,Tarik Black,NYJ,WR,1,0,0,0,0,0,1,10,0,0,0,0,0,2.0,2.0
180,22573,Dazz Newsome,CHI,WR,3,0,0,0,0,0,1,10,0,0,0,0,0,0.7,2.0
181,21263,Trenton Irwin,CIN,WR,7,0,0,0,0,0,1,9,0,0,0,0,0,0.3,1.9
182,21556,Tom Kennedy,DET,WR,12,0,0,0,0,0,1,8,0,0,0,0,0,0.1,1.8
183,17048,Tyrell Williams,DET,WR,1,0,0,0,0,0,1,7,0,0,0,0,0,1.7,1.7
184,20398,Equanimeous St. Brown,GB,WR,13,0,0,0,0,0,1,7,0,0,0,0,0,0.1,1.7
185,18928,Curtis Samuel,WAS,WR,5,0,0,0,3,0,1,4,0,0,0,0,0,0.3,1.7
186,17916,William Fuller V,MIA,WR,2,0,0,0,0,0,1,6,0,0,0,0,0,0.8,1.6
187,19080,Noah Brown,DAL,WR,13,0,0,0,0,0,1,6,0,0,0,0,0,0.1,1.6
188,20224,Christian Blake,ATL,WR,16,0,0,0,0,0,1,6,0,0,0,0,0,0.1,1.6
189,21138,Scotty Miller,TB,WR,9,0,0,0,0,0,1,5,0,0,0,0,0,0.2,1.5
190,22591,Dez Fitzpatrick,TEN,WR,4,0,0,0,0,0,1,5,0,0,0,0,0,0.4,1.5
191,21368,Trinity Benson,DET,WR,8,0,0,0,0,0,1,5,0,0,0,0,0,0.2,1.5
192,19280,Cody Hollister,TEN,WR,3,0,0,0,0,0,1,5,0,0,0,0,0,0.5,1.5
193,21724,Easop Winston Jr.,NO,WR,3,0,0,0,0,0,1,5,0,0,0,0,0,0.5,1.5
194,19937,Keke Coutee,IND,WR,2,0,0,0,0,0,1,5,0,0,0,0,0,0.8,1.5
195,22596,Jaelon Darden,TB,WR,9,0,0,0,0,0,1,3,0,0,0,0,0,0.1,1.3
196,20886,Stanley Morgan Jr.,CIN,WR,17,0,0,0,0,0,1,3,0,0,0,0,0,0.1,1.3
197,23090,C.J. Saunders,CAR,WR,1,0,0,0,0,0,1,3,0,0,0,0,0,1.3,1.3
198,18445,Mike Thomas,CIN,WR,12,0,0,0,0,0,1,0,0,0,0,0,0,0.1,1.0
199,21115,Juwann Winfree,GB,WR,7,0,0,0,0,0,2,6,0,0,0,0,0,0.1,0.6
200,21760,Isaiah Hodgins,BUF,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
201,20057,Auden Tate,CIN,WR,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
202,20939,David Sills,NYG,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
203,20963,Cody Thompson,SEA,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
204,20988,Preston Williams,MIA,WR,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
205,21473,D.J. Montgomery,NYJ,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
206,21728,Lawrence Cager,CLE,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
207,13887,Travis Benjamin,SF,WR,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
208,21742,Antonio Gandy-Golden,WAS,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
209,21037,Miles Boykin,BAL,WR,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
210,20820,Andy Isabella,ARI,WR,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
211,20722,Diontae Spencer,DEN,WR,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
212,21969,Aaron Parker,CAR,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
213,22638,Dillon Stoner,LV,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
214,22683,Jacob Harris,LAR,WR,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
215,18401,Tommylee Lewis,MIA,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
216,21178,Jason Moore,LAC,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
217,20376,Jordan Veasy,HOU,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
218,22327,J.J. Koski,LAR,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
219,23099,Michael Bandy,LAC,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
220,22609,Shi Smith,CAR,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
221,22973,Austin Trammell,ATL,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
222,22635,Jalen Camp,HOU,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
223,19120,David Moore,GB,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
224,19184,JoJo Natson,CLE,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
225,20793,Penny Hart,SEA,WR,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
226,21751,Aaron Fuller,SEA,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
227,20372,Cameron Batson,TEN,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
228,16640,John Brown,JAX,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
229,22311,Jeff Cotton,JAX,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
230,22602,Tutu Atwell,LAR,WR,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
231,22991,Landen Akers,LAR,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
232,20295,Vyncint Smith,NYJ,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
233,22345,Dan Chisena,MIN,WR,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
234,22417,Kristian Wilkerson,NE,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
235,21071,Greg Dortch,ARI,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
236,20762,Travis Fulgham,DEN,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
237,21737,Tyrie Cleveland,DEN,WR,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
238,19922,Justin Watson,TB,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
239,19361,Marcus Kemp,KC,WR,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
240,7651,Matthew Slater,NE,WR,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
241,19054,Rodney Adams,CHI,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
242,18717,Marvin Hall,ATL,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
243,18269,Geronimo Allison,DET,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
244,21967,Isaiah Coulter,CHI,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
245,16768,Kevin White,NO,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
246,22615,Kawaan Baker,NO,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
247,22339,Kirk Merritt,MIA,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
248,22645,Simi Fehoko,DAL,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
249,11565,Andre Roberts,LAC,WR,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
250,22276,DeMichael Harris,IND,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
251,22283,Josh Hammond,JAX,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
